,d,#d-MPs,rel_Lp,rel_K2,tim_Lp,tim_K2,tim_Kd,n_LU
0,2,137,"(0.7944467837612704, 0.7944467837612705)",0.7944467837612719,0.18412208557128906,0.38689112663269043,0.34529685974121094,294.0
1,3,737,"(0.5814512421059238, 0.5814512421059229)",0.5814512421059228,1.8384180068969727,1.065075159072876,1.858457326889038,1612.0
2,4,3047,"(0.3181632048046982, 0.3181632048047035)",0.3181632048047019,15.221440553665161,6.392115354537964,7.538390159606934,6494.0
3,5,10439,"(0.159698096921083, 0.1596980969210794)",0.15969809692108125,100.12014389038086,54.41840362548828,25.408791542053223,21394.0
