,d,#d-MPs,rel_Lp,rel_K2,tim_Lp,tim_K2,tim_Kd,n_LU
0,3,50,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.031294822692871094,0.3273136615753174,0.10602593421936035,66.0
1,4,105,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.03353238105773926,0.34033870697021484,0.21222996711730957,140.0
2,5,196,"(0.6828733369654302, 0.6828733369654294)",0.6828733369654298,0.09268999099731445,0.36783576011657715,0.39174866676330566,260.0
3,9,1210,"(0.22481721155039086, 0.22481721155039014)",0.22481721155039047,1.6682548522949219,1.3319568634033203,2.394289970397949,1530.0
