,d,#d-MPs,rel_L,rel_Lp,rel_K2,tim_L,tim_Lp,tim_K2,tim_Kd,n_LU
0,3,150,"(0.8719978037499906, 0.8719978037499827)","(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.13697195053100586,0.6166281700134277,1.09065580368042,0.4057893753051758,197.0
1,5,686,"(0.662221448909366, 0.6622214489093592)","(0.6622214489093614, 0.662221448909361)",0.662221448909361,1.5347952842712402,1.1135683059692383,1.5707049369812012,1.6992771625518799,975.0
2,7,2052,"(0.4081378589988906, 0.40813785899890054)","(0.4081378589988989, 0.408137858998897)",0.4081378589988983,11.067193031311035,4.583354473114014,5.762718677520752,5.359221696853638,3038.0
3,9,4840,"(0.18905888356274533, 0.18905888356273967)","(0.18905888356273537, 0.18905888356273437)",0.18905888356273687,57.20305061340332,22.94847822189331,30.56314492225647,12.516638278961182,7350.0
