,d,#d-MPs,rel_Lp,rel_K2,tim_Lp,tim_K2,tim_Kd,n_LU
0,2,137,"(0.7944467837612705, 0.7944467837612705)",0.7944467837612719,0.319490909576416,0.33860206604003906,0.6409640312194824,294.0
1,3,737,"(0.5814512421059238, 0.5814512421059229)",0.5814512421059228,4.035579681396484,1.7106783390045166,3.423737049102783,1612.0
2,4,3047,"(0.3181632048046982, 0.3181632048047035)",0.3181632048047019,25.985150814056396,16.65772581100464,14.020005702972412,6494.0
3,5,10439,"(0.159698096921083, 0.15969809692107934)",0.15969809692108125,216.44268989562988,145.67040181159973,46.769736528396606,21394.0
