,d,#d-MPs,rel_Lp,rel_K2,tim_Lp,tim_K2,tim_Kd,n_LU
0,3,50,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.0506281852722168,0.22934532165527344,0.19052410125732422,66.0
1,4,105,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.05829358100891113,0.26542115211486816,0.39659953117370605,140.0
2,5,196,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.16504430770874023,0.33864736557006836,0.7231626510620117,260.0
3,9,1210,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.990382671356201,2.7293996810913086,4.410916328430176,1530.0
