,d,#d-MPs,rel_L,rel_Lp,rel_K1,rel_K2,tim_L,tim_Lp,tim_K1,tim_K2,tim_Kd,n_LU
0,2,137,"(0.794446783761271, 0.7944467837612674)","(0.7944467837612705, 0.7944467837612705)",0.7944467837612719,0.7944467837612719,0.3666677474975586,0.650688886642456,1.1276888847351074,1.1212894916534424,0.3304476737976074,294.0
1,3,737,"(0.5814512421059053, 0.5814512421058775)","(0.5814512421059238, 0.5814512421059229)",0.5814512421059229,0.5814512421059228,3.810540199279785,2.413672924041748,2.4899239540100098,2.1122007369995117,1.7810711860656738,1612.0
2,4,3047,"(0.3181632048045976, 0.3181632048047714)","(0.3181632048046982, 0.3181632048047035)",0.31816320480470195,0.3181632048047019,30.373677253723145,15.679508209228516,20.123531818389893,13.192271947860718,7.236621379852295,6494.0
3,5,10439,"(0.15969809692107972, 0.15969809692110903)","(0.159698096921083, 0.15969809692107934)",0.15969809692108147,0.15969809692108125,209.55647492408752,99.87552738189697,157.50997972488403,86.15117597579956,24.080965042114258,21394.0
