,d,#d-MPs,rel_Lp,rel_K2,tim_Lp,tim_K2,tim_Kd,n_LU
0,3,150,"(0.8719978037499847, 0.8719978037499846)",0.8719978037499839,0.07173681259155273,0.45650720596313477,0.4758145809173584,197.0
1,5,686,"(0.6622214489093614, 0.662221448909361)",0.662221448909361,0.5544230937957764,0.9271936416625977,1.7902982234954834,975.0
2,7,2052,"(0.40813785899889876, 0.4081378589988971)",0.4081378589988983,4.037616491317749,4.218890905380249,5.5197038650512695,3038.0
3,9,4840,"(0.18905888356273534, 0.18905888356273426)",0.18905888356273687,22.520353078842163,15.717195510864258,13.168903112411499,7350.0
