,d,#d-MPs,rel_J,rel_A,rel_B,rel_L,rel_Lp,rel_K1,rel_K2,tim_J,tim_A,tim_B,tim_L,tim_Lp,tim_K1,tim_K2,tim_Kd,n_LU
0,3,50,0.8768108979453126,0.8768108979453126,0.8768108979453124,"(0.8768108979453123, 0.8768108979453124)","(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.8768108979453125,1.2515289783477783,0.06522583961486816,0.980637788772583,0.03712630271911621,0.5292596817016602,0.989948034286499,0.9720897674560547,0.0973508358001709,66.0
1,4,105,0.7826268457107386,0.782626845710741,0.7826268457107424,"(0.7826268457107415, 0.7826268457107426)","(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.7826268457107419,4.247864246368408,0.3457672595977783,1.0351171493530273,0.07541584968566895,0.5902860164642334,1.020315408706665,1.0194294452667236,0.20527172088623047,140.0
2,5,196,0.6828733369654286,0.68287333696543,0.6828733369654294,"(0.6828733369654312, 0.6828733369654305)","(0.6828733369654301, 0.6828733369654292)",0.6828733369654297,0.6828733369654298,11.993031024932861,1.4576339721679688,1.2656652927398682,0.24234342575073242,0.6402740478515625,1.1056044101715088,1.0704834461212158,0.4061927795410156,260.0
3,9,1210,0.22481721155037745,0.2248172115503905,0.22481721155039103,"(0.22481721155038475, 0.22481721155039602)","(0.22481721155039083, 0.22481721155039025)",0.22481721155039042,0.22481721155039047,246.41126441955566,114.583815574646,20.210153341293335,4.344750642776489,2.259155511856079,3.919550895690918,2.985668659210205,2.3230228424072266,1530.0
