,d,p,n_LU,tim_Kd,Nc,rel_Lp,rel_K,tim_Lp,tim_K
0,3,50,66.0,0.10543417930603027,4,"(0.8768108979453119, 0.8768108979453129)",0.8768108979453125,0.48186492919921875,0.4590182304382324
1,3,50,66.0,0.10543417930603027,8,"(0.8768108979453123, 0.8768108979453124)",0.8768108979453125,0.5301918983459473,0.5356953144073486
2,3,50,66.0,0.10543417930603027,12,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.583970308303833,0.6135075092315674
3,3,50,66.0,0.10543417930603027,16,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.5487351417541504,0.6773335933685303
4,3,50,66.0,0.10543417930603027,20,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.5408310890197754,0.7751758098602295
5,3,50,66.0,0.10543417930603027,24,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.5430665016174316,0.8321518898010254
6,3,50,66.0,0.10543417930603027,28,"(0.8768108979453124, 0.8768108979453124)",0.8768108979453125,0.5665638446807861,0.9245588779449463
7,4,105,140.0,0.21587038040161133,4,"(0.7826268457107425, 0.7826268457107427)",0.7826268457107419,0.47952699661254883,0.4963102340698242
8,4,105,140.0,0.21587038040161133,8,"(0.7826268457107425, 0.7826268457107421)",0.7826268457107419,0.5438764095306396,0.5636630058288574
9,4,105,140.0,0.21587038040161133,12,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.6024696826934814,0.6264510154724121
10,4,105,140.0,0.21587038040161133,16,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.603417158126831,0.7108287811279297
11,4,105,140.0,0.21587038040161133,20,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.5843067169189453,0.7898223400115967
12,4,105,140.0,0.21587038040161133,24,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.594235897064209,0.8671925067901611
13,4,105,140.0,0.21587038040161133,28,"(0.7826268457107424, 0.7826268457107421)",0.7826268457107419,0.5952663421630859,0.9582648277282715
14,5,196,260.0,0.3927788734436035,4,"(0.6828733369654301, 0.6828733369654304)",0.6828733369654298,0.605449914932251,0.5544917583465576
15,5,196,260.0,0.3927788734436035,8,"(0.6828733369654301, 0.6828733369654297)",0.6828733369654298,0.5832695960998535,0.6502914428710938
16,5,196,260.0,0.3927788734436035,12,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.6429643630981445,0.6739413738250732
17,5,196,260.0,0.3927788734436035,16,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.6596720218658447,0.7758388519287109
18,5,196,260.0,0.3927788734436035,20,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.6415073871612549,0.8538966178894043
19,5,196,260.0,0.3927788734436035,24,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.6594252586364746,0.9267652034759521
20,5,196,260.0,0.3927788734436035,28,"(0.6828733369654301, 0.6828733369654292)",0.6828733369654298,0.662919282913208,0.9902088642120361
21,9,1210,1530.0,2.3665480613708496,4,"(0.22481721155038878, 0.22481721155039114)",0.22481721155039047,3.6970269680023193,4.5548415184021
22,9,1210,1530.0,2.3665480613708496,8,"(0.22481721155039064, 0.2248172115503902)",0.22481721155039047,2.2769031524658203,3.443830966949463
23,9,1210,1530.0,2.3665480613708496,12,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.2584362030029297,3.2252345085144043
24,9,1210,1530.0,2.3665480613708496,16,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.31620454788208,3.055690050125122
25,9,1210,1530.0,2.3665480613708496,20,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.3381528854370117,3.081489324569702
26,9,1210,1530.0,2.3665480613708496,24,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.2792201042175293,2.8042397499084473
27,9,1210,1530.0,2.3665480613708496,28,"(0.22481721155039083, 0.22481721155039025)",0.22481721155039047,2.3572418689727783,2.980238199234009
